CONDITION,OUTCOME,YEAR,Geography,SRANum,RegionNum,RegionName,UrbanicitySort,UrbanicityCat,SESSort,Socioeconomic_Category,SDNUM,Supervisor_District,Total_Cases,Total_Rate,Age_Adjusted_Rate,Male_Cases,Male_Rate,Female_Cases,Female_Rate,White_Cases,White_Rate,Black_Cases,Black_Rate,Hispanic_Cases,Hispanic_Rate,Asian_Pacific_Islander_Cases,Asian_Pacific_Islander_Rate,Other_Race_Ethnicity_Cases,Other_Race_Ethnicity_Rate,Age_Group_0_to_14_Cases,Age_Group_0_to_14_Rate,Age_Group_15_to_24_Cases,Age_Group_15_to_24_Rate,Age_Group_25_to_44_Cases,Age_Group_25_to_44_Rate,Age_Group_45_to_64_Cases,Age_Group_45_to_64_Rate,Age_Group_65Plus_Cases,Age_Group_65Plus_Rate
ADD,Hospitalization,2010,Valley Center,53,6,N INLAND,1,Rural Area,5,High Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,South Region,99,99,REGION SOUTH,99,,99,,99,South Region,20,4.26908011996115,3.98328079564439,17,7.2625364194841,,,7,7.13324909305833,,,10,3.60067116510518,,,,,14,13.8320785662063,6,7.42684557112442,,,,,,
ADD,Hospitalization,2010,Chula Vista,21,4,SOUTH,5,Very Urban Area,1,Lowest Income,1,Supervisorial District 1,11,9.54579377614246,9.29326998410493,8,14.4037737887326,,,,,,,6,7.37689801438495,,,,,8,32.6663944467129,,,,,,,,
ADD,Hospitalization,2010,Coronado,3,4,SOUTH,2,Exurban Area,6,Highest Income,1,Supervisorial District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,National City,4,4,SOUTH,5,Very Urban Area,1,Lowest Income,1,Supervisorial District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,South Bay,22,4,SOUTH,3,Suburban Area,2,Low Income,1,Supervisorial District 1,5,3.70606460411818,3.33811586857599,5,7.34645900675874,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Sweetwater,20,4,SOUTH,3,Suburban Area,6,Highest Income,1,Supervisorial District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Unknown,99,99,UNKNOWN,99,,99,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,San Diego County (Actual Rate),0,0,COUNTY,99,,99,,99,County Total,152,4.87834624062443,5.1337994193721,100,6.39881238042219,52,3.34831489613785,82,5.48281538558234,13,9.0969525209055,41,4.0562573210498,,,5,4.24394177311887,98,16.5131894888494,48,9.62807546806488,,,,,,
ADD,Hospitalization,2011,Central Region,99,99,REGION CENTRAL,99,,99,,99,Central Region,25,5.14860946355608,5.6507846914245,15,6.04604669160325,10,4.21102277321116,11,7.72933281804448,,,9,4.33067077278414,,,,,18,19.9795764329796,5,6.22672760557417,,,,,,
ADD,Hospitalization,2011,Central San Diego,1,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,12,7.23039658725281,12.203144036616,5,5.5197995208814,7,9.28591326957006,6,7.33048259010385,,,5,8.5254399126995,,,,,9,44.7828034034931,,,,,,,,
ADD,Hospitalization,2011,Mid-City,6,3,CENTRAL,5,Very Urban Area,1,Lowest Income,4,Supervisorial District 4,9,5.51484105002574,5.30197719501114,8,9.84348853233586,,,,,,,,,,,,,6,17.7562072741262,,,,,,,,
ADD,Hospitalization,2011,Southeastern San Diego,5,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,East Region,99,99,REGION EAST,99,,99,,99,East Region,33,7.07168113146898,7.55088248413486,25,10.8794513275107,8,3.37753684681604,19,6.80942567870263,,,8,6.72641969495687,,,,,21,23.5518420905064,11,15.8537991467774,,,,,,
ADD,Hospitalization,2011,Alpine,38,5,EAST,1,Rural Area,5,High Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,El Cajon,34,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,Harbison Crest/El Cajon,37,5,EAST,99,,99,,2,Supervisorial District 2,14,9.99757201822415,10.5179411610678,9,13.0977675582851,5,7.01065619742008,9,10.5718178828173,,,,,,,,,9,32.6927966871299,,,,,,,,
ADD,Hospitalization,2011,Jamul,30,5,EAST,1,Rural Area,6,Highest Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,La Mesa,33,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,Laguna-Pine Valley,61,5,EAST,1,Rural Area,3,Moderately Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,Lakeside,36,5,EAST,2,Exurban Area,3,Moderately Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,Lemon Grove,32,5,EAST,5,Very Urban Area,2,Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,Mountain Empire,62,5,EAST,1,Rural Area,2,Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,Santee,35,5,EAST,3,Suburban Area,4,Moderately High Income,2,Supervisorial District 2,6,11.6069874064187,12.7481473600713,5,19.9808184143223,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,Spring Valley,31,5,EAST,4,Urban Area,4,Moderately High Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,North Central Region,99,99,REGION N CENTRAL,99,,99,,99,North Central Region,28,4.59208357592108,5.84115699853477,19,6.1597914748486,9,2.9871254891418,16,4.38117300430724,,,6,6.8381523312401,,,,,20,21.1902567199602,6,5.79441418472592,,,,,,
ADD,Hospitalization,2010,San Diego County (Actual Rate),0,0,COUNTY,99,,99,,99,County Total,115,3.71529470525275,4.0373913673486,83,5.3421588371858,32,2.07571965849222,59,3.93321009275043,20,13.6425648021828,26,2.6226915270924,,,5,4.31943052627942,82,13.7545121509373,24,4.8402222468715,,,,,6,1.70733442413033
ADD,Hospitalization,2010,Central Region,99,99,REGION CENTRAL,99,,99,,99,Central Region,16,3.30293259127448,3.81405921628305,12,4.84466783746139,,,5,3.48092453355611,6,10.5861180705035,,,,,,,13,14.4724244650769,,,,,,,,
ADD,Hospitalization,2010,Central San Diego,1,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,5,3.01985251040339,5.31289869070905,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Mid-City,6,3,CENTRAL,5,Very Urban Area,1,Lowest Income,4,Supervisorial District 4,6,3.68003336563585,3.84615232056907,5,6.15710468309382,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Southeastern San Diego,5,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,5,3.20913962966529,2.94868938135559,,,,,,,,,,,,,,,5,13.639215472326,,,,,,,,
ADD,Hospitalization,2010,East Region,99,99,REGION EAST,99,,99,,99,East Region,26,5.6142411705261,6.15809770544143,18,7.89304053076313,8,3.40340084829766,18,6.44560624507627,,,,,,,,,17,18.8907779666856,5,7.29660707770887,,,,,,
ADD,Hospitalization,2010,Alpine,38,5,EAST,1,Rural Area,5,High Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,El Cajon,34,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,6,4.81827088318905,5.30259243518912,6,9.84801234284214,,,,,,,,,,,,,6,23.5404896421846,,,,,,,,
ADD,Hospitalization,2010,Harbison Crest/El Cajon,37,5,EAST,99,,99,,2,Supervisorial District 2,8,5.7483240042825,6.43558994197292,8,11.7240166481036,,,6,7.0345749358095,,,,,,,,,8,28.8194819698116,,,,,,,,
