"","Geography","ind_id","ind_definition","reportyear","race_eth_code","race_eth_name","geotype","geotypevalue","geoname","county_name","county_fips","region_name","region_code","cost_yr","median_income","affordability_ratio","LL95_affordability_ratio","UL95_affordability_ratio","se_food_afford","rse_food_afford","food_afford_decile","CA_RR_Affordability","ave_fam_size","version","CONDITION","OUTCOME","YEAR","SRANum","RegionNum","RegionName","UrbanicitySort","UrbanicityCat","SESSort","Socioeconomic_Category","SDNUM","Supervisor_District","Total_Cases","Total_Rate","Age_Adjusted_Rate","Male_Cases","Male_Rate","Female_Cases","Female_Rate","White_Cases","White_Rate","Black_Cases","Black_Rate","Hispanic_Cases","Hispanic_Rate","Asian_Pacific_Islander_Cases","Asian_Pacific_Islander_Rate","Other_Race_Ethnicity_Cases","Other_Race_Ethnicity_Rate","Age_Group_0_to_14_Cases","Age_Group_0_to_14_Rate","Age_Group_15_to_24_Cases","Age_Group_15_to_24_Rate","Age_Group_25_to_44_Cases","Age_Group_25_to_44_Rate","Age_Group_45_to_64_Cases","Age_Group_45_to_64_Rate","Age_Group_65Plus_Cases","Age_Group_65Plus_Rate"
"1","Alpine",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","01192","Alpine CDP","San Diego","06073","San Diego","09",5647.7083944,41691,0.1354659,0.1037894,0.1671424,0.0161615,11.9302976,9,0.5085007,2.67,41376.1896555,"Mood Disorders","Hospitalization",2010,38,5,"EAST",1,"Rural Area",5,"High Income",2,"Supervisorial District 2",64,425.673428666445,418.259660850026,24,321.758948920767,40,527.983104540655,54,457.200914401829,NA,NA,6,270.880361173815,NA,NA,NA,NA,NA,NA,23,1165.73745565129,14,427.742132600061,22,451.745379876797,NA,NA
"2","Borrego Springs",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","07596","Borrego Springs CDP","San Diego","06073","San Diego","09",5024.0316,23750,0.2115382,0.0790418,0.3440345,0.0676002,31.956487,7,0.7940546,2.27,41376.1896555,"Mood Disorders","Hospitalization",2010,63,6,"N INLAND",1,"Rural Area",1,"Lowest Income",5,"Supervisorial District 5",20,450.45045045045,589.88882036763,11,489.759572573464,9,410.2096627165,16,570.816981805209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,816.993464052288,9,620.689655172414,NA,NA
"3","Carlsbad",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","11194","Carlsbad city","San Diego","06073","San Diego","09",6176.682192,39051,0.1581696,0.1331954,0.1831438,0.0127419,8.0558672,8,0.5937241,2.88,41376.1896555,"Mood Disorders","Hospitalization",2010,41,1,"N COASTAL",3,"Suburban Area",5,"High Income",5,"Supervisorial District 5",257,224.03933328684,229.067566447443,114,204.407308457801,143,242.615496852785,216,256,5,315.656565656566,19,113.977204559088,6,73.9918608953015,NA,NA,20,91.0705341286827,58,474.554082801505,71,235.896072828759,80,245.270871018181,28,157.179746266981
"4","Chula Vista",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","13392","Chula Vista city","San Diego","06073","San Diego","09",7086.8899488,27245,0.2601171,0.2351819,0.2850523,0.012722,4.8908894,5,0.9764061,3.38,41376.1896555,"Mood Disorders","Hospitalization",2010,21,4,"SOUTH",5,"Very Urban Area",1,"Lowest Income",1,"Supervisorial District 1",482,418.279327281879,409.652124706096,201,361.894816441908,281,470.741963044243,249,1165.62119651718,19,480.890913692736,184,226.224872441139,16,265.604249667995,8,312.256049960968,44,179.665169456921,126,670.46240621508,108,348.657024793388,166,627.338347001247,38,261.816177483809
"5","Coronado",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","16378","Coronado city","San Diego","06073","San Diego","09",5652.6059928,43011,0.1314223,0.0622244,0.2006203,0.0353051,26.8638426,9,0.4933223,2.66,41376.1896555,"Mood Disorders","Hospitalization",2010,3,4,"SOUTH",2,"Exurban Area",6,"Highest Income",1,"Supervisorial District 1",37,149.803635774728,165.631416778558,14,96.2596259625963,23,226.489414081733,32,178.611297164546,NA,NA,NA,NA,NA,NA,NA,NA,5,159.744408945687,6,92.6640926640927,14,212.378640776699,11,219.079864568811,NA,NA
"6","El Cajon",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","21712","El Cajon city","San Diego","06073","San Diego","09",6573.8305164,23172,0.2836972,0.2329326,0.3344617,0.0259003,9.1295595,5,1.064919,3.19,41376.1896555,"Mood Disorders","Hospitalization",2010,34,5,"EAST",4,"Urban Area",2,"Low Income",2,"Supervisorial District 2",438,351.733774472801,339.809313239812,188,308.571053409054,250,393.081761006289,327,443.931577518327,35,500.142897970849,54,162.905756003379,7,157.551204141346,7,111.518241198025,28,109.855618330195,102,518.81993896236,95,287.774142735975,166,523.675825735828,47,320.447262562215
"7","Encinitas",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","22678","Encinitas city","San Diego","06073","San Diego","09",6315.1079736,55076,0.1146617,0.0552329,0.1740905,0.0303208,26.4437028,9,0.4304077,2.98,41376.1896555,"Mood Disorders","Hospitalization",2010,40,1,"N COASTAL",2,"Exurban Area",6,"Highest Income",3,"Supervisorial District 3",252,269.438029253272,273.30472577282,91,197.774493610363,161,338.833235120801,225,306.786108724997,NA,NA,11,87.7053101578696,5,118.427285646613,NA,NA,12,70.9345628657563,58,618.336886993603,63,255.443376718161,81,276.073619631902,38,287.269428485032
"8","Escondido",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","22804","Escondido city","San Diego","06073","San Diego","09",6902.149188,27359,0.2522808,0.1962587,0.3083028,0.0285827,11.3297126,5,0.9469907,3.35,41376.1896555,"Mood Disorders","Hospitalization",2010,50,6,"N INLAND",2,"Exurban Area",3,"Moderately Low Income",3,"Supervisorial District 3",484,296.894265156023,301.152852188225,190,234.942068232123,294,357.881923311016,370,520.393811533052,23,683.506686478455,69,93.104844150587,8,78.3392087739914,7,165.328294756731,40,110.518608570718,102,397.862464406912,144,318.077398833716,152,395.905503607428,46,262.46719160105
"9","Fallbrook",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","23462","Fallbrook CDP","San Diego","06073","San Diego","09",7102.7233968,36490,0.1946485,0.1554716,0.2338254,0.0199882,10.2688752,7,0.7306555,3.36,41376.1896555,"Mood Disorders","Hospitalization",2010,55,6,"N INLAND",1,"Rural Area",4,"Moderately High Income",5,"Supervisorial District 5",134,283.27414172163,271.309956993018,68,288.771870222524,66,277.824549587473,112,410.18128547885,NA,NA,14,81.2347684809098,NA,NA,NA,NA,14,158.478605388273,41,575.519371139809,21,210.294412177048,34,258.044930176078,24,293.255131964809
"10","Jamul",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","37120","Jamul CDP","San Diego","06073","San Diego","09",6532.2552,21042,0.3104389,0,0.9201456,0.3110749,100.2048595,4,1.1653,2.94,41376.1896555,"Mood Disorders","Hospitalization",2010,30,5,"EAST",1,"Rural Area",6,"Highest Income",2,"Supervisorial District 2",48,253.191264901361,231.05808534345,19,174.32791999266,29,359.846134756173,34,324.303700877528,8,875.27352297593,5,86.4154856550294,NA,NA,NA,NA,NA,NA,18,567.10775047259,8,166.805671392827,15,250.45917515445,NA,NA
