"","Geography","ind_id","ind_definition","reportyear","race_eth_code","race_eth_name","geotype","geotypevalue","geoname","county_name","county_fips","region_name","region_code","pop_park_acc","pop2010","p_parkacc","LL_95CI","UL_95CI","se","rse","CA_decile","CA_RR","version","TRACT","CONDITION","OUTCOME","YEAR","SRANum","RegionNum","RegionName","UrbanicitySort","UrbanicityCat","SESSort","Socioeconomic_Category","SDNUM","Supervisor_District","Total_Cases","Total_Rate","Age_Adjusted_Rate","Male_Cases","Male_Rate","Female_Cases","Female_Rate","White_Cases","White_Rate","Black_Cases","Black_Rate","Hispanic_Cases","Hispanic_Rate","Asian_Pacific_Islander_Cases","Asian_Pacific_Islander_Rate","Other_Race_Ethnicity_Cases","Other_Race_Ethnicity_Rate","Age_Group_0_to_14_Cases","Age_Group_0_to_14_Rate","Age_Group_15_to_24_Cases","Age_Group_15_to_24_Rate","Age_Group_25_to_44_Cases","Age_Group_25_to_44_Rate","Age_Group_45_to_64_Cases","Age_Group_45_to_64_Rate","Age_Group_65Plus_Cases","Age_Group_65Plus_Rate"
"1","ALPINE",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","CT","073021205","Census Tract 0212.05","San Diego","06073","San Diego","09",3948,6801,0.5805029,0.5687745,0.5922312,0.0059838,1.4264327,3,0.7869988,41376.2397873,212.05,"Mood Disorders","Hospitalization",2010,38,5,"EAST",1,"Rural Area",5,"High Income",2,"Supervisorial District 2",64,425.673428666445,418.259660850026,24,321.758948920767,40,527.983104540655,54,457.200914401829,NA,NA,6,270.880361173815,NA,NA,NA,NA,NA,NA,23,1165.73745565129,14,427.742132600061,22,451.745379876797,NA,NA
"2","ALPINE",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","CT","073021206","Census Tract 0212.06","San Diego","06073","San Diego","09",1185,2995,0.3956594,0.3781465,0.4131724,0.0089352,2.2583003,2,0.536403,41376.2397873,212.06,"Mood Disorders","Hospitalization",2010,38,5,"EAST",1,"Rural Area",5,"High Income",2,"Supervisorial District 2",64,425.673428666445,418.259660850026,24,321.758948920767,40,527.983104540655,54,457.200914401829,NA,NA,6,270.880361173815,NA,NA,NA,NA,NA,NA,23,1165.73745565129,14,427.742132600061,22,451.745379876797,NA,NA
"3","ANZA-BORREGO SPRINGS",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","CT","073021000","Census Tract 0210.00","San Diego","06073","San Diego","09",1845,4440,0.4155405,0.4010445,0.4300366,0.0073959,1.779832,2,0.5633562,41376.2397873,210,"Mood Disorders","Hospitalization",2010,63,6,"N INLAND",1,"Rural Area",1,"Lowest Income",5,"Supervisorial District 5",20,450.45045045045,589.88882036763,11,489.759572573464,9,410.2096627165,16,570.816981805209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,816.993464052288,9,620.689655172414,NA,NA
"4","CARLSBAD",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","CT","073019808","Census Tract 0198.08","San Diego","06073","San Diego","09",2129,4321,0.49271,0.4778031,0.5076169,0.0076056,1.5436197,3,0.6679763,41376.2397873,198.08,"Mood Disorders","Hospitalization",2010,41,1,"N COASTAL",3,"Suburban Area",5,"High Income",5,"Supervisorial District 5",257,224.03933328684,229.067566447443,114,204.407308457801,143,242.615496852785,216,256,5,315.656565656566,19,113.977204559088,6,73.9918608953015,NA,NA,20,91.0705341286827,58,474.554082801505,71,235.896072828759,80,245.270871018181,28,157.179746266981
"5","CARLSBAD",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","CT","073017811","Census Tract 0178.11","San Diego","06073","San Diego","09",6355,6355,1,1,1,0,0,9,1.355719,41376.2397873,178.11,"Mood Disorders","Hospitalization",2010,41,1,"N COASTAL",3,"Suburban Area",5,"High Income",5,"Supervisorial District 5",257,224.03933328684,229.067566447443,114,204.407308457801,143,242.615496852785,216,256,5,315.656565656566,19,113.977204559088,6,73.9918608953015,NA,NA,20,91.0705341286827,58,474.554082801505,71,235.896072828759,80,245.270871018181,28,157.179746266981
"6","CARLSBAD",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","CT","073019803","Census Tract 0198.03","San Diego","06073","San Diego","09",4383,4465,0.9816349,0.9776966,0.9855733,0.0020094,10.9412786,6,1.3308212,41376.2397873,198.03,"Mood Disorders","Hospitalization",2010,41,1,"N COASTAL",3,"Suburban Area",5,"High Income",5,"Supervisorial District 5",257,224.03933328684,229.067566447443,114,204.407308457801,143,242.615496852785,216,256,5,315.656565656566,19,113.977204559088,6,73.9918608953015,NA,NA,20,91.0705341286827,58,474.554082801505,71,235.896072828759,80,245.270871018181,28,157.179746266981
"7","CARLSBAD",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","CT","073017809","Census Tract 0178.09","San Diego","06073","San Diego","09",801,2293,0.349324,0.3298098,0.3688382,0.0099562,2.8501396,2,0.4735852,41376.2397873,178.09,"Mood Disorders","Hospitalization",2010,41,1,"N COASTAL",3,"Suburban Area",5,"High Income",5,"Supervisorial District 5",257,224.03933328684,229.067566447443,114,204.407308457801,143,242.615496852785,216,256,5,315.656565656566,19,113.977204559088,6,73.9918608953015,NA,NA,20,91.0705341286827,58,474.554082801505,71,235.896072828759,80,245.270871018181,28,157.179746266981
"8","CARLSBAD",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","CT","073022100","Census Tract 0221.00","San Diego","06073","San Diego","09",7108,9082,0.782647,0.7741644,0.7911296,0.0043279,1.9911748,4,1.0610494,41376.2397873,221,"Mood Disorders","Hospitalization",2010,41,1,"N COASTAL",3,"Suburban Area",5,"High Income",5,"Supervisorial District 5",257,224.03933328684,229.067566447443,114,204.407308457801,143,242.615496852785,216,256,5,315.656565656566,19,113.977204559088,6,73.9918608953015,NA,NA,20,91.0705341286827,58,474.554082801505,71,235.896072828759,80,245.270871018181,28,157.179746266981
"9","CARLSBAD",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","CT","073018000","Census Tract 0180.00","San Diego","06073","San Diego","09",3711,3711,1,1,1,0,0,9,1.355719,41376.2397873,180,"Mood Disorders","Hospitalization",2010,41,1,"N COASTAL",3,"Suburban Area",5,"High Income",5,"Supervisorial District 5",257,224.03933328684,229.067566447443,114,204.407308457801,143,242.615496852785,216,256,5,315.656565656566,19,113.977204559088,6,73.9918608953015,NA,NA,20,91.0705341286827,58,474.554082801505,71,235.896072828759,80,245.270871018181,28,157.179746266981
"10","CARLSBAD",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","CT","073019805","Census Tract 0198.05","San Diego","06073","San Diego","09",2783,3763,0.7395695,0.725547,0.753592,0.0071543,2.7471126,4,1.0026484,41376.2397873,198.05,"Mood Disorders","Hospitalization",2010,41,1,"N COASTAL",3,"Suburban Area",5,"High Income",5,"Supervisorial District 5",257,224.03933328684,229.067566447443,114,204.407308457801,143,242.615496852785,216,256,5,315.656565656566,19,113.977204559088,6,73.9918608953015,NA,NA,20,91.0705341286827,58,474.554082801505,71,235.896072828759,80,245.270871018181,28,157.179746266981
