"","Geography","ind_id","ind_definition","reportyear","race_eth_code","race_eth_name","geotype","geotypevalue","geoname","county_fips","county_name","region_code","region_name","Unemployment","Labor_force","Unemployment_rate","ll_95ci","ul_95ci","se","rse","place_decile","ca_rr","version","TRACT","CONDITION","OUTCOME","YEAR","SRANum","RegionNum","RegionName","UrbanicitySort","UrbanicityCat","SESSort","Socioeconomic_Category","SDNUM","Supervisor_District","Total_Cases","Total_Rate","Age_Adjusted_Rate","Male_Cases","Male_Rate","Female_Cases","Female_Rate","White_Cases","White_Rate","Black_Cases","Black_Rate","Hispanic_Cases","Hispanic_Rate","Asian_Pacific_Islander_Cases","Asian_Pacific_Islander_Rate","Other_Race_Ethnicity_Cases","Other_Race_Ethnicity_Rate","Age_Group_0_to_14_Cases","Age_Group_0_to_14_Rate","Age_Group_15_to_24_Cases","Age_Group_15_to_24_Rate","Age_Group_25_to_44_Cases","Age_Group_25_to_44_Rate","Age_Group_45_to_64_Cases","Age_Group_45_to_64_Rate","Age_Group_65Plus_Cases","Age_Group_65Plus_Rate"
"1","ALPINE",290,"Unemployment rate","2006-2010",9,"Total","CT","06073021205","0212.05","06073","San Diego",NA,NA,226,3168,7.1,2.21489361702128,11.9851063829787,2.49240121580547,35.1042424761334,NA,0.788888888888889,41781.4915162037,212.05,"Mood Disorders","Hospitalization",2010,38,5,"EAST",1,"Rural Area",5,"High Income",2,"Supervisorial District 2",64,425.673428666445,418.259660850026,24,321.758948920767,40,527.983104540655,54,457.200914401829,NA,NA,6,270.880361173815,NA,NA,NA,NA,NA,NA,23,1165.73745565129,14,427.742132600061,22,451.745379876797,NA,NA
"2","ALPINE",290,"Unemployment rate","2006-2010",9,"Total","CT","06073021206","0212.06","06073","San Diego",NA,NA,140,1736,8.1,1.42765957446809,14.7723404255319,3.40425531914894,42.0278434462832,NA,0.9,41781.4915162037,212.06,"Mood Disorders","Hospitalization",2010,38,5,"EAST",1,"Rural Area",5,"High Income",2,"Supervisorial District 2",64,425.673428666445,418.259660850026,24,321.758948920767,40,527.983104540655,54,457.200914401829,NA,NA,6,270.880361173815,NA,NA,NA,NA,NA,NA,23,1165.73745565129,14,427.742132600061,22,451.745379876797,NA,NA
"3","ANZA-BORREGO SPRINGS",290,"Unemployment rate","2006-2010",9,"Total","CT","06073021000","0210.00","06073","San Diego",NA,NA,94,1436,6.5,0.304255319148936,12.6957446808511,3.16109422492401,48.6322188449848,NA,0.722222222222222,41781.4915162037,210,"Mood Disorders","Hospitalization",2010,63,6,"N INLAND",1,"Rural Area",1,"Lowest Income",5,"Supervisorial District 5",20,450.45045045045,589.88882036763,11,489.759572573464,9,410.2096627165,16,570.816981805209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,816.993464052288,9,620.689655172414,NA,NA
"4","CARLSBAD",290,"Unemployment rate","2006-2010",9,"Total","CT","06073019808","0198.08","06073","San Diego",NA,NA,113,1387,8.1,2.61914893617021,13.5808510638298,2.79635258358663,34.522871402304,NA,0.9,41781.4915162037,198.08,"Mood Disorders","Hospitalization",2010,41,1,"N COASTAL",3,"Suburban Area",5,"High Income",5,"Supervisorial District 5",257,224.03933328684,229.067566447443,114,204.407308457801,143,242.615496852785,216,256,5,315.656565656566,19,113.977204559088,6,73.9918608953015,NA,NA,20,91.0705341286827,58,474.554082801505,71,235.896072828759,80,245.270871018181,28,157.179746266981
"5","CARLSBAD",290,"Unemployment rate","2006-2010",9,"Total","CT","06073017811","0178.11","06073","San Diego",NA,NA,88,3166,2.8,0.893617021276596,4.7063829787234,0.972644376899696,34.7372991749891,NA,0.311111111111111,41781.4915162037,178.11,"Mood Disorders","Hospitalization",2010,41,1,"N COASTAL",3,"Suburban Area",5,"High Income",5,"Supervisorial District 5",257,224.03933328684,229.067566447443,114,204.407308457801,143,242.615496852785,216,256,5,315.656565656566,19,113.977204559088,6,73.9918608953015,NA,NA,20,91.0705341286827,58,474.554082801505,71,235.896072828759,80,245.270871018181,28,157.179746266981
"6","CARLSBAD",290,"Unemployment rate","2006-2010",9,"Total","CT","06073019803","0198.03","06073","San Diego",NA,NA,139,2421,5.7,2.12553191489362,9.27446808510638,1.82370820668693,31.994880819069,NA,0.633333333333333,41781.4915162037,198.03,"Mood Disorders","Hospitalization",2010,41,1,"N COASTAL",3,"Suburban Area",5,"High Income",5,"Supervisorial District 5",257,224.03933328684,229.067566447443,114,204.407308457801,143,242.615496852785,216,256,5,315.656565656566,19,113.977204559088,6,73.9918608953015,NA,NA,20,91.0705341286827,58,474.554082801505,71,235.896072828759,80,245.270871018181,28,157.179746266981
"7","CARLSBAD",290,"Unemployment rate","2006-2010",9,"Total","CT","06073017809","0178.09","06073","San Diego",NA,NA,53,1051,5,0.591489361702127,9.40851063829787,2.24924012158055,44.9848024316109,NA,0.555555555555556,41781.4915162037,178.09,"Mood Disorders","Hospitalization",2010,41,1,"N COASTAL",3,"Suburban Area",5,"High Income",5,"Supervisorial District 5",257,224.03933328684,229.067566447443,114,204.407308457801,143,242.615496852785,216,256,5,315.656565656566,19,113.977204559088,6,73.9918608953015,NA,NA,20,91.0705341286827,58,474.554082801505,71,235.896072828759,80,245.270871018181,28,157.179746266981
"8","CARLSBAD",290,"Unemployment rate","2006-2010",9,"Total","CT","06073022100","0221.00","06073","San Diego",NA,NA,245,4019,6.1,3.24042553191489,8.95957446808511,1.45896656534954,23.9174846778614,NA,0.677777777777778,41781.4915162037,221,"Mood Disorders","Hospitalization",2010,41,1,"N COASTAL",3,"Suburban Area",5,"High Income",5,"Supervisorial District 5",257,224.03933328684,229.067566447443,114,204.407308457801,143,242.615496852785,216,256,5,315.656565656566,19,113.977204559088,6,73.9918608953015,NA,NA,20,91.0705341286827,58,474.554082801505,71,235.896072828759,80,245.270871018181,28,157.179746266981
"9","CARLSBAD",290,"Unemployment rate","2006-2010",9,"Total","CT","06073018000","0180.00","06073","San Diego",NA,NA,100,2009,5,1.18723404255319,8.81276595744681,1.94528875379939,38.9057750759878,NA,0.555555555555556,41781.4915162037,180,"Mood Disorders","Hospitalization",2010,41,1,"N COASTAL",3,"Suburban Area",5,"High Income",5,"Supervisorial District 5",257,224.03933328684,229.067566447443,114,204.407308457801,143,242.615496852785,216,256,5,315.656565656566,19,113.977204559088,6,73.9918608953015,NA,NA,20,91.0705341286827,58,474.554082801505,71,235.896072828759,80,245.270871018181,28,157.179746266981
"10","CARLSBAD",290,"Unemployment rate","2006-2010",9,"Total","CT","06073019805","0198.05","06073","San Diego",NA,NA,191,1907,10,3.92340425531915,16.0765957446809,3.10030395136778,31.0030395136778,NA,1.11111111111111,41781.4915162037,198.05,"Mood Disorders","Hospitalization",2010,41,1,"N COASTAL",3,"Suburban Area",5,"High Income",5,"Supervisorial District 5",257,224.03933328684,229.067566447443,114,204.407308457801,143,242.615496852785,216,256,5,315.656565656566,19,113.977204559088,6,73.9918608953015,NA,NA,20,91.0705341286827,58,474.554082801505,71,235.896072828759,80,245.270871018181,28,157.179746266981
