"","TRACT","X","Geography","ind_id","ind_definition","reportyear","race_eth_code","race_eth_name","geotype","geotypevalue","geoname","county_name","county_fips","region_name","region_code","pop_park_acc","pop2010","p_parkacc","LL_95CI","UL_95CI","se","rse","CA_decile","CA_RR","version","CONDITION","OUTCOME","YEAR","SRANum","RegionNum","RegionName","UrbanicitySort","UrbanicityCat","SESSort","Socioeconomic_Category","SDNUM","Supervisor_District","Total_Cases","Total_Rate","Age_Adjusted_Rate","Male_Cases","Male_Rate","Female_Cases","Female_Rate","White_Cases","White_Rate","Black_Cases","Black_Rate","Hispanic_Cases","Hispanic_Rate","Asian_Pacific_Islander_Cases","Asian_Pacific_Islander_Rate","Other_Race_Ethnicity_Cases","Other_Race_Ethnicity_Rate","Age_Group_0_to_14_Cases","Age_Group_0_to_14_Rate","Age_Group_15_to_24_Cases","Age_Group_15_to_24_Rate","Age_Group_25_to_44_Cases","Age_Group_25_to_44_Rate","Age_Group_45_to_64_Cases","Age_Group_45_to_64_Rate","Age_Group_65Plus_Cases","Age_Group_65Plus_Rate","percent","Unemployment_rate"
"1",1,39,"CENTRAL SAN DIEGO",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","CT",73000100,"Census Tract 0001.00","San Diego",6073,"San Diego",9,3029,3029,1,1,1,0,0,9,1.355719,41376.2397873,"Mood Disorders","Hospitalization",2010,1,3,"CENTRAL",5,"Very Urban Area",2,"Low Income",4,"Supervisorial District 4",1082,653.496083251294,629.498605903139,597,659.522757401679,485,646.227232148805,753,915.04538770947,113,984.149102943738,158,274.200826073375,21,247.087892693258,26,457.988374141272,26,134.30445787489,108,469.769464984776,392,562.152240004589,473,1246.44250026352,83,534.036803500193,3.3,5
"2",1,39,"CENTRAL SAN DIEGO",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","CT",73000100,"Census Tract 0001.00","San Diego",6073,"San Diego",9,3029,3029,1,1,1,0,0,9,1.355719,41376.2397873,"Mood Disorders","Hospitalization",2010,1,3,"CENTRAL",5,"Very Urban Area",2,"Low Income",4,"Supervisorial District 4",1082,653.496083251294,629.498605903139,597,659.522757401679,485,646.227232148805,753,915.04538770947,113,984.149102943738,158,274.200826073375,21,247.087892693258,26,457.988374141272,26,134.30445787489,108,469.769464984776,392,562.152240004589,473,1246.44250026352,83,534.036803500193,5,5
"3",1,39,"CENTRAL SAN DIEGO",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","CT",73000100,"Census Tract 0001.00","San Diego",6073,"San Diego",9,3029,3029,1,1,1,0,0,9,1.355719,41376.2397873,"Mood Disorders","Hospitalization",2010,1,3,"CENTRAL",5,"Very Urban Area",2,"Low Income",4,"Supervisorial District 4",1082,653.496083251294,629.498605903139,597,659.522757401679,485,646.227232148805,753,915.04538770947,113,984.149102943738,158,274.200826073375,21,247.087892693258,26,457.988374141272,26,134.30445787489,108,469.769464984776,392,562.152240004589,473,1246.44250026352,83,534.036803500193,0,5
"4",1,39,"CENTRAL SAN DIEGO",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","CT",73000100,"Census Tract 0001.00","San Diego",6073,"San Diego",9,3029,3029,1,1,1,0,0,9,1.355719,41376.2397873,"Mood Disorders","Hospitalization",2010,1,3,"CENTRAL",5,"Very Urban Area",2,"Low Income",4,"Supervisorial District 4",1082,653.496083251294,629.498605903139,597,659.522757401679,485,646.227232148805,753,915.04538770947,113,984.149102943738,158,274.200826073375,21,247.087892693258,26,457.988374141272,26,134.30445787489,108,469.769464984776,392,562.152240004589,473,1246.44250026352,83,534.036803500193,2.8,5
"5",2.01,51,"CENTRAL SAN DIEGO",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","CT",73000201,"Census Tract 0002.01","San Diego",6073,"San Diego",9,1801,1801,1,1,1,0,0,9,1.355719,41376.2397873,"Mood Disorders","Hospitalization",2010,1,3,"CENTRAL",5,"Very Urban Area",2,"Low Income",4,"Supervisorial District 4",1082,653.496083251294,629.498605903139,597,659.522757401679,485,646.227232148805,753,915.04538770947,113,984.149102943738,158,274.200826073375,21,247.087892693258,26,457.988374141272,26,134.30445787489,108,469.769464984776,392,562.152240004589,473,1246.44250026352,83,534.036803500193,0,6.9
"6",2.01,51,"CENTRAL SAN DIEGO",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","CT",73000201,"Census Tract 0002.01","San Diego",6073,"San Diego",9,1801,1801,1,1,1,0,0,9,1.355719,41376.2397873,"Mood Disorders","Hospitalization",2010,1,3,"CENTRAL",5,"Very Urban Area",2,"Low Income",4,"Supervisorial District 4",1082,653.496083251294,629.498605903139,597,659.522757401679,485,646.227232148805,753,915.04538770947,113,984.149102943738,158,274.200826073375,21,247.087892693258,26,457.988374141272,26,134.30445787489,108,469.769464984776,392,562.152240004589,473,1246.44250026352,83,534.036803500193,7.1,6.9
"7",3,32,"CENTRAL SAN DIEGO",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","CT",73000300,"Census Tract 0003.00","San Diego",6073,"San Diego",9,4732,4732,1,1,1,0,0,9,1.355719,41376.2397873,"Mood Disorders","Hospitalization",2010,1,3,"CENTRAL",5,"Very Urban Area",2,"Low Income",4,"Supervisorial District 4",1082,653.496083251294,629.498605903139,597,659.522757401679,485,646.227232148805,753,915.04538770947,113,984.149102943738,158,274.200826073375,21,247.087892693258,26,457.988374141272,26,134.30445787489,108,469.769464984776,392,562.152240004589,473,1246.44250026352,83,534.036803500193,12.3,4.9
"8",3,32,"CENTRAL SAN DIEGO",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","CT",73000300,"Census Tract 0003.00","San Diego",6073,"San Diego",9,4732,4732,1,1,1,0,0,9,1.355719,41376.2397873,"Mood Disorders","Hospitalization",2010,1,3,"CENTRAL",5,"Very Urban Area",2,"Low Income",4,"Supervisorial District 4",1082,653.496083251294,629.498605903139,597,659.522757401679,485,646.227232148805,753,915.04538770947,113,984.149102943738,158,274.200826073375,21,247.087892693258,26,457.988374141272,26,134.30445787489,108,469.769464984776,392,562.152240004589,473,1246.44250026352,83,534.036803500193,17.4,4.9
"9",4,29,"CENTRAL SAN DIEGO",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","CT",73000400,"Census Tract 0004.00","San Diego",6073,"San Diego",9,3669,3669,1,1,1,0,0,9,1.355719,41376.2397873,"Mood Disorders","Hospitalization",2010,1,3,"CENTRAL",5,"Very Urban Area",2,"Low Income",4,"Supervisorial District 4",1082,653.496083251294,629.498605903139,597,659.522757401679,485,646.227232148805,753,915.04538770947,113,984.149102943738,158,274.200826073375,21,247.087892693258,26,457.988374141272,26,134.30445787489,108,469.769464984776,392,562.152240004589,473,1246.44250026352,83,534.036803500193,12.9,7
"10",4,29,"CENTRAL SAN DIEGO",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","CT",73000400,"Census Tract 0004.00","San Diego",6073,"San Diego",9,3669,3669,1,1,1,0,0,9,1.355719,41376.2397873,"Mood Disorders","Hospitalization",2010,1,3,"CENTRAL",5,"Very Urban Area",2,"Low Income",4,"Supervisorial District 4",1082,653.496083251294,629.498605903139,597,659.522757401679,485,646.227232148805,753,915.04538770947,113,984.149102943738,158,274.200826073375,21,247.087892693258,26,457.988374141272,26,134.30445787489,108,469.769464984776,392,562.152240004589,473,1246.44250026352,83,534.036803500193,43.1,7
