"","ind_id","ind_definition","reportyear","race_eth_code","race_eth_name","geotype","geotypevalue","geoname","county_name","county_fips","region_name","region_code","pop_park_acc","pop2010","p_parkacc","LL_95CI","UL_95CI","se","rse","CA_decile","CA_RR","version","Geography"
"85252",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","PL","01192","Alpine CDP","San Diego","06073","San Diego","09",6576,14236,0.4619275,0.4537378,0.4701172,0.0041784,0.9045644,4,0.6262439,41376.2397873,"Alpine"
"85364",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","PL","07414","Bonita CDP","San Diego","06073","San Diego","09",12419,12538,0.9905089,0.9888117,0.992206,0.0008659,9.1233787,9,1.3428517,41376.2397873,"Bonita"
"85366",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","PL","07498","Bonsall CDP","San Diego","06073","San Diego","09",1628,3982,0.4088398,0.3935699,0.4241096,0.0077907,1.9055722,4,0.5542719,41376.2397873,"Bonsall"
"85371",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","PL","07596","Borrego Springs CDP","San Diego","06073","San Diego","09",993,3429,0.2895888,0.2744072,0.3047704,0.0077457,2.674732,3,0.392601,41376.2397873,"Borrego Springs"
"85372",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","PL","07624","Bostonia CDP","San Diego","06073","San Diego","09",1985,15379,0.1290721,0.123773,0.1343712,0.0027036,2.094647,3,0.1749855,41376.2397873,"Bostonia"
"85374",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","PL","07694","Boulevard CDP","San Diego","06073","San Diego","09",0,315,0,0,0,0,0,1,0,41376.2397873,"Boulevard"
"85428",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","PL","10508","Campo CDP","San Diego","06073","San Diego","09",1926,2684,0.7175857,0.7005545,0.7346169,0.0086894,3.0768214,6,0.9728446,41376.2397873,"Campo"
"85429",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","PL","10559","Camp Pendleton North CDP","San Diego","06073","San Diego","09",0,5200,0,0,0,0,0,1,0,41376.2397873,"Camp Pendleton North"
"85430",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","PL","10561","Camp Pendleton South CDP","San Diego","06073","San Diego","09",1304,10616,0.1228335,0.1165893,0.1290776,0.0031858,2.5935954,3,0.1665277,41376.2397873,"Camp Pendleton South"
"85438",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","PL","11194","Carlsbad city","San Diego","06073","San Diego","09",80530,105328,0.764564,0.7620017,0.7671263,0.0013073,0.5552628,6,1.036534,41376.2397873,"Carlsbad"
"85450",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","PL","11691","Casa de Oro-Mount Helix CDP","San Diego","06073","San Diego","09",11079,18762,0.5905021,0.5834656,0.5975385,0.00359,0.8766885,5,0.8005549,41376.2397873,"Casa de Oro-Mount Helix"
"85485",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","PL","13392","Chula Vista city","San Diego","06073","San Diego","09",223669,243916,0.9169919,0.915897,0.9180868,0.0005586,0.6729804,8,1.2431834,41376.2397873,"Chula Vista"
"85528",469,"Percent of Population within ½ Mile of Park, Beach, Open Space, or Coastline",2010,9,"Total","PL","16378","Coronado city","San Diego","06073","San Diego","09",18004,24697,0.7289954,0.7234519,0.7345389,0.0028283,1.0436431,6,0.988313,41376.2397873,"Coronado"
